Business/Company Name,Main Category,Sub Category,Street Address,City,State,Zip Code,Phone Number,Country
Angeline's Philippine Cuisine,Eat/Drink,Restaurants,"3600 Minnesota Drive # A,",Anchorage,Alaska,99503,907.258.4080,USA
"Armie's Cafe
Pinoy Kainan Philippine Cuisine & Espresso",Eat/Drink,Restaurants,4240 Old Seward Hwy. Suite 16,Anchorage,Alaska,99503,561.103,USA
Lutong Pinoy,Eat/Drink,Restaurants,116 N. Franklin St.,Juneau,Alaska,99801,907.523.9093,USA
Milan Philippines Baker,Eat/Drink,Bakery,1614 Mill Bay Road,Kodiak,Alaska,99615,907.486.1934,USA
Orties Filipino Fast Food,Eat/Drink,Restaurants,not specified,Barrow,Alaska,99723,907.852.5721,USA
Lollicup coffee & Tea,Eat/Drink,Restaurants,10160 W McDowell Road #130,Avondale,Arizona,85323,626.965.8882,USA
Bamboo Palace Buffet Restaurant,Eat/Drink,Restaurants,1461 N Dysart Rd,Avondale,Arizona,85323,623.932.0868,USA
Casa Filipina Bakery & Restaurant,Eat/Drink,Restaurants,3531 W Thunderbird Road,Phoenix,Arizona,85053,602.942.1258,USA
"Halo Halo Kitchen
",Eat/Drink,Restaurants,"3553 West Dunlap Rd
",Phoenix,Arizona,85051,602.324.9670,USA
Karey's Kitchen,Eat/Drink,Restaurants,4041 East Thomas Rd. Ste. 124,Phoenix,Arizona,85018,602.955.2182,USA
Lutong Bahay (Inside Lam's Supermarket),Eat/Drink,Restaurants,6740 W. Indian School Road,Phoenix,Arizona,85033,623.247.2941,USA
Red Ribbon Bake Shop,Eat/Drink,Bakery,"Arizona Mills Ste 682
5000 S Arizona Mills Cir",Tempe,Arizona,85282,480.755.2393,USA
GingerRoot,Eat/Drink,Restaurants,"Chandler Plaza No. 111
1076 W Chandler Blvd",Chandler,Arizona,85224,480.917.1240,USA
Eggroll Lumpia Factory,Eat/Drink,Restaurants,2986 N Alma School Rd # 3,Chandler,Arizona,85224,480.722.9095,USA
Jeepney Bistro,Eat/Drink,Restaurants,2390 N Alma School Rd,Chandler,Arizona,85224,480.726.2668,USA
